City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Erzin,0,TR,1552970612,100,36.95,36.2,53.01,5.97
Gbarnga,68,LR,1552970724,94,7.0,-9.47,71.49,4.18
Kayerkan,80,RU,1552970724,83,69.35,87.76,9.48,16.15
Grindavik,75,IS,1552969897,74,63.84,-22.43,36.0,21.92
Tignere,12,CM,1552970725,53,7.37,12.65,61.32,2.39
Poplar Bluff,1,US,1552970618,63,36.76,-90.39,43.0,4.18
Farmington,75,US,1552970406,40,36.73,-108.21,51.8,4.7
Saint-Pierre,0,FR,1552970525,92,48.95,4.24,30.0,2.24
Marzuq,0,YE,1552970726,38,14.4,46.47,73.47,3.74
Kingseat,90,GB,1552970706,93,56.1,-3.41,46.0,6.93
San Pedro,0,AR,1552970624,77,-33.68,-59.66,68.0,4.0
Kendari,32,ID,1552970730,95,-3.99,122.52,86.25,3.4
Krasnotorka,0,UA,1552970730,88,48.68,37.52,41.25,4.97
Isangel,75,VU,1552968000,66,-19.55,169.27,87.8,10.29
Praia da Vitoria,20,PT,1552969856,76,38.73,-27.07,57.2,13.58
Pitimbu,0,BR,1552968000,100,-7.47,-34.81,75.2,2.24
Yulara,0,AU,1552968000,15,-25.24,130.99,100.4,13.87
Sanming,36,CN,1552970732,75,26.24,117.6,74.19,2.73
Moindou,88,NC,1552969800,66,-21.69,165.68,86.0,3.36
Iberia,68,PE,1552970732,94,-11.41,-69.49,75.09,0.83
Tigil,56,RU,1552970733,78,57.8,158.67,8.67,9.22
Karachi,0,PK,1552967700,57,24.87,67.03,77.0,11.41
Komsomolskiy,76,RU,1552970733,98,67.55,63.78,27.39,14.81
Kahului,40,US,1552970716,53,20.89,-156.47,73.99,11.41
Atherton,90,GB,1552970732,93,53.52,-2.49,46.99,3.36
Srandakan,68,ID,1552970734,91,-7.94,110.25,79.14,7.87
Williston,36,US,1552970525,100,48.15,-103.62,33.8,5.82
Sechura,24,PE,1552970734,81,-5.56,-80.82,75.63,9.22
Amzya,0,RU,1552970735,68,56.24,54.39,32.16,3.74
Birobidzhan,24,RU,1552970735,44,48.79,132.93,36.57,8.21
Bayburt,0,TR,1552970735,54,40.26,40.22,25.86,3.29
Prachuap Khiri Khan,24,TH,1552970736,92,11.81,99.79,82.74,3.29
Oskemen,20,KZ,1552969800,92,49.96,82.61,19.4,2.24
Belyy Yar,0,RU,1552968000,57,53.6,91.39,23.0,6.71
Senno,24,RU,1552968000,86,57.76,27.95,37.4,8.95
Pacific Grove,90,US,1552970736,81,36.62,-121.92,57.0,4.7
Clearwater,75,US,1552970612,62,27.97,-82.8,62.01,4.7
Nombre de Dios,0,MX,1552970737,63,23.85,-104.24,47.19,6.64
Monrovia,48,LR,1552970688,87,6.33,-10.8,78.06,3.96
Nago,0,IT,1552970725,93,45.88,10.89,43.0,2.24
Afzalpur,0,IN,1552970738,24,17.2,76.36,92.64,4.97
Whitehorse,75,CA,1552968000,45,60.72,-135.06,46.4,23.04
Salvador,20,BR,1552968000,88,-12.98,-38.48,80.6,2.24
Puerto Madryn,24,AR,1552970587,80,-42.77,-65.04,55.74,13.47
Kingaroy,75,AU,1552968000,27,-26.54,151.84,87.8,8.05
Juneau,20,US,1552967760,66,58.3,-134.42,48.2,9.17
Banjar,92,ID,1552970740,100,-7.37,108.54,75.81,2.62
Huarmey,12,PE,1552970740,90,-10.07,-78.15,65.64,3.06
Nenjiang,92,CN,1552970740,35,49.17,125.23,46.38,12.91
Kudahuvadhoo,36,MV,1552970740,100,2.67,72.89,83.46,3.4
Udachnyy,0,RU,1552970741,70,66.42,112.4,5.97,3.4
Jumla,24,NP,1552970741,72,29.28,82.18,38.73,1.83
Izumo,75,JP,1552968000,54,35.37,132.75,59.0,4.7
Ginir,0,ET,1552970742,42,7.14,40.71,75.0,3.96
Hit,0,IQ,1552970742,33,33.64,42.83,58.08,4.97
Szabadbattyan,56,HU,1552970462,64,47.12,18.37,42.01,3.0
Tra Vinh,8,VN,1552970691,50,9.93,106.35,92.82,13.58
Jardim,8,BR,1552970737,94,-21.48,-56.15,70.59,2.95
Mount Isa,0,AU,1552968000,19,-20.73,139.49,98.6,6.93
Hutchinson,75,US,1552970620,57,38.06,-97.93,50.0,12.75
Takhtamygda,48,RU,1552970743,35,54.1,123.57,23.61,7.2
Neiafu,24,TO,1552970744,100,-18.65,-173.98,81.03,4.18
Bud,0,NO,1552969943,86,62.91,6.91,37.4,5.82
Lensk,64,RU,1552970744,61,60.71,114.91,15.6,3.96
Prestea,0,GH,1552970745,87,5.43,-2.14,77.97,4.97
Pozo Colorado,48,PY,1552970745,95,-23.49,-58.8,70.68,3.06
Cockburn Town,0,TC,1552970701,100,21.46,-71.14,77.25,11.23
Puerto Quijarro,88,BO,1552970745,93,-19.0,-57.72,76.26,2.28
Ashford,20,GB,1552970742,100,51.15,0.87,44.6,2.24
Wanlaweyn,44,SO,1552970746,72,2.62,44.89,81.57,9.89
Caraz,64,PE,1552970746,96,-9.05,-77.81,54.12,0.72
Ostrovnoy,92,RU,1552970746,94,68.05,39.51,30.09,6.42
Pangkalanbuun,68,ID,1552970746,83,-2.68,111.62,83.55,8.1
Santiago Tuxtla,80,MX,1552969492,81,18.47,-95.3,66.99,1.99
Taunggyi,0,MM,1552970747,29,20.78,97.03,83.19,8.99
Road Town,1,VG,1552970532,73,18.42,-64.62,77.0,5.82
Giyani,0,ZA,1552970747,73,-23.32,30.73,74.28,4.41
Broken Hill,76,AU,1552968000,17,-31.97,141.45,91.4,10.29
Dobreni,0,RO,1552970514,81,44.25,26.22,46.0,10.29
Benghazi,32,LY,1552970748,92,32.12,20.07,63.66,8.99
Umarizal,92,BR,1552970748,98,-5.99,-37.82,72.93,3.51
Boda,0,BD,1552970749,59,26.2,88.56,79.14,4.41
Agropoli,32,IT,1552970704,1,40.35,15.0,48.0,3.0
Calama,0,CL,1552968000,31,-22.46,-68.93,48.2,13.87
Lobatse,0,BW,1552968000,63,-25.21,25.68,64.4,6.93
Mitsamiouli,20,KM,1552968000,78,-11.38,43.28,80.6,4.7
Avera,1,US,1552970713,32,33.19,-82.53,53.6,5.82
Kualakapuas,40,ID,1552969800,62,-3.01,114.39,87.8,8.05
Sonegaon,0,IN,1552969800,48,21.19,79.31,84.2,8.43
Ketchikan,1,US,1552967760,81,55.34,-131.65,48.2,5.82
Galle,20,US,1552970745,53,29.74,-97.91,57.2,7.43
Jacksonville,1,US,1552970527,81,30.33,-81.66,57.2,9.33
El Dorado,76,VE,1552970752,75,6.71,-61.64,75.99,4.18
Pirovskoye,88,RU,1552970753,79,57.63,92.27,26.4,6.53
Karaton,40,ID,1552970648,74,-6.34,106.1,86.0,18.34
Miyako,75,JP,1552970626,66,33.63,130.94,62.01,3.36
Nalut,48,LY,1552970754,92,31.86,10.98,50.97,14.47
Babu,76,CN,1552970754,77,23.23,104.89,68.97,6.53
Filingue,0,NE,1552970754,45,14.35,3.32,69.51,5.64
Kattivakkam,40,IN,1552970015,62,13.22,80.32,87.8,10.29
Paita,48,PE,1552970755,78,-5.09,-81.11,76.26,4.18
Amahai,20,ID,1552970755,100,-3.31,129.0,84.45,9.44
Saint-Francois,0,FR,1552969874,93,46.42,3.91,37.4,2.24
Berdyaush,32,RU,1552970755,84,55.17,59.15,24.24,3.62
Adrar,0,DZ,1552968000,17,27.87,-0.29,57.2,4.7
Kitimat,20,CA,1552969882,70,54.02,-128.69,46.4,16.11
Sovetskiy,0,RU,1552970756,90,56.76,48.47,26.22,9.44
Bereda,76,ES,1552970646,100,43.27,-7.54,51.01,1.12
Soavinandriana,0,MG,1552970757,99,-19.17,46.74,69.06,3.96
Rawson,64,AR,1552970757,38,-43.3,-65.11,52.05,8.66
Namibe,0,AO,1552970758,100,-15.19,12.15,75.81,7.09
Sovkhoznyy,0,RU,1552970417,93,45.29,38.11,43.0,6.71
Saint-Georges,20,CA,1552970746,66,46.12,-70.67,12.99,3.18
Wuwei,0,CN,1552970759,46,37.93,102.64,49.89,4.97
Iskateley,88,RU,1552970759,94,67.68,53.15,30.27,17.72
Baruun-Urt,68,MN,1552970759,33,46.68,113.28,36.93,13.35
Byron Bay,20,AU,1552970577,94,-28.65,153.62,90.0,11.41
Dalvik,0,SE,1552970722,79,57.79,14.13,30.0,11.41
Muros,0,ES,1552970709,86,42.77,-9.06,48.99,4.7
Batticaloa,8,LK,1552970760,84,7.71,81.69,86.79,9.22
Maine-Soroa,24,NE,1552970760,23,13.21,12.02,74.01,8.32
Tromso,75,NO,1552969200,85,69.65,18.96,24.8,5.82
Novaya Ladoga,56,RU,1552970761,95,60.11,32.31,34.5,6.98
Amapa,20,HN,1552968000,83,15.09,-87.97,73.4,1.72
Rocha,12,UY,1552970576,94,-34.48,-54.34,64.56,9.66
Abu Samrah,20,SY,1552970762,93,35.3,37.18,49.26,5.3
Deputatskiy,20,RU,1552970762,61,69.3,139.9,-3.93,3.96
Winneba,20,GH,1552968000,88,5.35,-0.62,82.4,6.93
Chapleau,8,CA,1552970763,70,47.85,-83.4,5.97,4.97
Mezen,92,RU,1552970763,83,65.85,44.24,34.32,9.44
Maloy,32,ID,1552970763,76,1.0,118.1,84.36,3.18
Montrose,90,AU,1552970760,73,-37.81,145.34,82.0,13.87
Tecoanapa,5,MX,1552966860,83,16.99,-99.26,80.6,5.82
Saurimo,76,AO,1552970764,87,-9.66,20.4,67.71,4.18
Mendi,24,ET,1552970765,33,9.8,35.1,74.82,2.73
Causapscal,68,CA,1552970463,69,48.35,-67.23,23.0,14.0
Buala,44,SB,1552970739,100,-8.15,159.59,79.59,2.62
Evensk,36,RU,1552970765,100,61.92,159.24,4.17,11.68
Inhambane,75,MZ,1552968000,94,-23.87,35.38,75.2,5.19
Chegdomyn,36,RU,1552970766,44,51.13,133.04,29.01,2.95
Carauari,88,BR,1552970766,93,-4.88,-66.9,75.09,2.62
Hay River,75,CA,1552968000,45,60.82,-115.79,48.2,12.75
Alta Floresta,64,BR,1552970767,96,-9.87,-56.08,72.84,2.28
